REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME
EFS31075,12/11/2022 1:29,15-11-22 01:29:54,QSNE0761953,40,E,7/2/2023 1:23
EFS31294,22-11-22 13:40:39,25-11-22 13:40:39,OFXS8497438,40,E,2/2/2023 19:33
EFS31695,4/12/2022 17:13,7/12/2022 17:13,DRVO4626646,20,E,10/2/2023 5:09
EFS31708,5/12/2022 16:08,8/12/2022 16:08,AYVO2980897,20,E,28-02-23 08:22:09
EFS31708,5/12/2022 16:08,8/12/2022 16:08,JJRB9424765,20,E,17-04-23 17:23:17
EFS31708,5/12/2022 16:08,8/12/2022 16:08,FHYM4955027,20,E, 
EFS31708,5/12/2022 16:08,8/12/2022 16:08,FMCI9681980,20,E,19-04-23 01:16:25
EFS31708,5/12/2022 16:08,8/12/2022 16:08,JLBL7272687,20,E,28-04-23 17:24:11
EFS31875,11/12/2022 23:20,14-12-22 23:20:32,GTBR2975100,20,E,10/2/2023 22:01
EFS32155,19-12-22 19:44:19,22-12-22 19:44:19,XEWY1281673,40,E,21-03-23 00:40:12
EFS32267,23-12-22 09:12:51,26-12-22 09:12:51,MUGM7097804,20,E,6/2/2023 2:53
EXP11625-121058,30-12-22 14:44:25,30-12-22 14:44:25,SUQD3441303,40,L,13-02-23 13:14:36
EXP11625-121058,30-12-22 14:44:25,30-12-22 14:44:25,ASZN7072275,40,L,13-02-23 13:16:28
EFS16112-121398-383569,26-12-22 01:52:23,29-12-22 01:52:23,IVGZ1307148,20,L,13-02-23 13:16:05
EFS32687,5/1/2023 16:14,8/1/2023 16:14,YKDJ3263462,40,E,11/2/2023 1:11
EFS32681,5/1/2023 14:25,8/1/2023 14:25,SGOZ9601524,40,E,11/2/2023 11:04
EFS32681,5/1/2023 14:25,8/1/2023 14:25,EJSB1973061,40,E,11/2/2023 0:23
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,XSDD6903189,40,L,2/2/2023 13:35
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,FODY4182428,40,L,2/2/2023 13:36
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,ZFCD6538569,40,L,2/2/2023 13:36
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,ZSBA6162814,40,L,2/2/2023 13:36
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,HQAW3384376,40,L,2/2/2023 13:35
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,HDWW7890572,40,L,2/2/2023 13:35
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,CUDY6584489,40,L,2/2/2023 13:28
IGOJO03235,19-01-23 16:24:21,22-01-23 16:24:21,UCIH2198237,40,L,2/2/2023 13:34
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,GQRQ3986457,20,E,9/2/2023 1:57
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,NNTD7295128,20,E,6/2/2023 14:33
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,ZFUV4794968,20,E,13-02-23 08:32:33
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,IOXU1658236,20,E,13-02-23 08:32:33
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,IKEE6360781,20,E,2/2/2023 0:41
EFS33163,19-01-23 16:48:53,22-01-23 16:48:53,OXVM6890084,20,E,6/2/2023 14:31
EFS33268,22-01-23 19:43:24,25-01-23 19:43:24,IFLA5118450,20,E,12/3/2023 1:07
EFS33268,22-01-23 19:43:24,25-01-23 19:43:24,PGMH2755386,20,E,11/3/2023 23:27
EFS32969,14-01-23 02:43:10,17-01-23 02:43:10,FCXB8755383,20,E,12/2/2023 12:33
EFS32975,14-01-23 07:22:06,17-01-23 07:22:06,PFTS8539096,20,E,10/2/2023 21:20
EFS33203,20-01-23 15:24:13,23-01-23 15:24:13,VCMN8621865,40,E,5/2/2023 22:08
EFS32998,14-01-23 19:46:25,17-01-23 19:46:25,VCMQ8574159,40,E,7/4/2023 8:17
EFS33298,23-01-23 19:25:50,26-01-23 19:25:50,RSUB1980829,20,E,8/2/2023 10:05
EFS33164,19-01-23 16:51:12,22-01-23 16:51:12,KRPA2445155,20,E,1/2/2023 23:03
EFS33164,19-01-23 16:51:12,22-01-23 16:51:12,YURG5606412,20,E,3/2/2023 1:07
EFS33648,1/2/2023 20:05,4/2/2023 20:05,XSMA7076006,40,E,2/2/2023 4:55
EFS33648,1/2/2023 20:05,4/2/2023 20:05,NNPO9403165,40,E,2/2/2023 3:20
EFS33648,1/2/2023 20:05,4/2/2023 20:05,EJEK1288417,40,E,3/2/2023 5:28
EFS16751-228639-414880,31-01-23 00:36:28,3/2/2023 0:36,SDFT9817756,40,L,6/2/2023 22:59
MTZEFS16816,2/2/2023 15:57,5/2/2023 15:57,LHNG8496952,40,E,2/2/2023 14:29
